xID,yID,Div,Size0,Size4,Size30
570,857,2,609,1023,-1
590,800,2,625,1023,-1
595,583,0,463,727,744
608,2537,1,550,866,-1
612,2587,0,507,831,893
655,1219,0,445,742,742
705,1275,0,480,870,834
710,885,1,539,883,-1
723,1161,2,576,1013,-1
738,1951,0,469,786,755
762,581,0,536,917,944
774,1482,0,468,712,765
784,645,0,340,586,622
827,559,0,350,640,701
830,798,1,555,879,-1
849,1586,2,525,870,-1
853,1171,0,445,783,764
879,2011,2,618,1018,-1
937,626,2,696,1199,-1
952,398,0,393,633,660
1016,2314,1,534,873,-1
1051,786,1,563,916,-1
1056,1025,0,411,571,565
1075,2603,0,490,744,763
1096,2499,1,466,770,-1
1101,132,2,565,955,-1
77,1264,0,474,827,843
77,412,0,402,711,675
1129,2004,0,477,785,768
1127,1931,0,426,709,738
1139,2267,1,536,850,-1
1175,391,0,398,587,666
1216,1710,0,475,728,732
1250,2135,1,644,984,-1
1277,1186,2,605,991,-1
1292,1072,0,389,610,609
1310,77,0,504,837,801
1345,2693,2,565,931,-1
1353,882,2,460,950,-1
1384,969,2,547,890,-1
1405,549,0,380,553,548
1473,1616,0,511,742,764
1502,2005,1,460,745,-1
1552,1795,0,365,628,713
1581,2045,0,411,606,614
1598,1887,0,412,652,676
1687,2433,0,412,612,671
1697,388,0,492,478,515
1698,1163,0,512,769,767
1746,1988,1,520,759,-1
1808,1489,0,362,487,502
1838,592,2,689,1213,-1
1858,2006,0,407,563,557
1927,123,0,407,625,680
1977,2130,0,519,810,836
1990,2686,1,533,847,-1
2061,969,0,465,752,816
2073,2424,0,411,566,648
2100,270,0,404,620,701
2130,603,0,568,579,498
2175,2720,2,601,968,-1
2199,2329,0,455,724,694
2234,2295,0,409,658,603
2244,2692,0,637,1005,931
2264,1595,2,488,736,-1
2297,499,0,365,601,636
2320,1765,0,525,801,781
2327,2491,0,413,621,648
2362,1884,0,397,598,677
2363,1172,0,304,496,506
2403,926,0,354,616,715
2412,1745,2,507,881,-1
2424,2209,2,1027,1608,-1
2501,2166,0,334,528,595
2549,2357,0,427,634,681
2556,2074,0,421,743,782
2582,1981,0,436,656,753
2640,2194,0,345,513,519
2652,2071,2,705,1029,-1
2707,312,2,607,1026,-1
2773,2487,2,991,1470,-1
2811,607,2,576,924,-1
2824,1900,0,457,693,701
2823,2266,0,378,568,526
2860,2281,0,387,533,524
2868,892,1,495,818,-1
2882,253,0,492,799,787
2914,1557,0,468,702,714
2945,2117,0,323,455,549
2987,1785,0,391,604,634
3005,2501,2,592,1049,-1
3073,751,0,396,567,584
3086,685,0,500,747,679
3139,92,0,480,674,726
3156,1804,0,549,766,716
3222,2265,0,461,747,741
3285,2652,0,489,805,756
3355,2710,0,453,691,773
3430,2597,2,787,1282,-1
3445,1576,2,611,947,-1
3473,549,0,465,752,843
3477,1656,0,424,688,709
3497,1537,0,350,519,587
3543,2130,0,446,704,745
3565,373,0,402,666,748
3569,1398,1,481,802,-1
3580,235,0,404,656,720
3619,2714,0,351,559,605
3624,77,0,378,664,716
3672,1786,0,682,1064,1080
3702,1460,0,433,683,738
3745,2677,0,447,790,801
3779,2381,0,446,658,721
3783,1028,0,425,644,716
3792,585,1,509,819,-1
3868,2516,0,482,826,696
3886,1691,0,463,787,755
3922,2616,0,449,694,788
3939,2499,0,428,674,767
3978,2349,0,542,908,927
3996,166,0,424,623,772
4008,938,0,531,888,797
4016,1866,0,575,908,961
77,1897,2,1099,1513,-1
104,1033,1,526,748,-1
147,898,2,605,877,-1
305,850,0,509,754,835
383,1929,2,711,1095,-1
408,1442,1,623,807,-1
442,1262,2,657,869,-1
489,734,1,605,767,-1
596,2861,0,547,770,825
673,1033,0,474,651,801
741,2013,0,511,621,792
810,610,0,402,367,479
837,468,1,517,706,-1
840,235,2,563,802,-1
932,2797,0,573,768,808
961,2672,1,538,732,-1
962,311,1,580,746,-1
1005,2396,2,618,931,-1
1014,305,0,457,594,630
1152,687,2,555,909,-1
1217,1420,0,463,715,875
